"admin1","n_events","n_violent","n_peaceful","n_fatalities"
"Jakarta",2191,195,1996,13
"East Java",1772,164,1608,142
"West Java",1639,166,1473,6
"South Sulawesi",1037,181,856,5
"Central Java",980,84,896,0
"North Sumatra",850,112,738,13
"Papua",574,146,428,15
"Aceh",548,55,493,2
"Banten",393,41,352,4
"West Sulawesi",343,35,308,3
"West Nusa Tenggara",340,99,241,9
"East Kalimantan",329,22,307,1
"East Nusa Tenggara",319,40,279,13
"Central Papua",311,116,195,30
"Yogyakarta",305,30,275,1
"Highland Papua",300,108,192,92
"Southeast Sulawesi",291,69,222,3
"Southwest Papua",286,49,237,1
"South Sumatra",268,34,234,7
"West Papua",251,56,195,8
"Jambi",248,42,206,1
"Riau",246,42,204,2
"Maluku",239,51,188,9
"Riau Islands",224,26,198,0
"Central Sulawesi",218,25,193,4
"West Sumatra",210,18,192,2
"West Kalimantan",209,19,190,0
"Lampung",192,36,156,7
"South Kalimantan",189,8,181,1
"North Maluku",173,32,141,0
"Bali",169,30,139,5
"North Sulawesi",168,23,145,2
"Bangka-Belitung",156,13,143,0
"Gorontalo",109,10,99,0
"South Papua",109,23,86,7
"Bengkulu",101,18,83,0
"Central Kalimantan",93,8,85,2
"North Kalimantan",87,6,81,0
