"condition","mean_triggered","median_triggered","sd_triggered","n_focal","province"
"admin1 == 'Jakarta'",33.62,32,18.5004901630347,500,"Jakarta"
"admin1 == 'East Java'",5.746,5,4.99714186847916,500,"East Java"
"admin1 == 'West Java'",16.25,9,16.9401723390807,500,"West Java"
"admin1 == 'South Sulawesi'",5.202,3,5.5098014323247,500,"South Sulawesi"
"admin1 == 'Central Java'",4.208,3,4.46997733716733,500,"Central Java"
"admin1 == 'North Sumatra'",5.748,5,5.00865943528579,500,"North Sumatra"
"admin1 == 'Papua'",6.066,6,4.36483075215866,500,"Papua"
"admin1 == 'Aceh'",1.37,1,1.76956568836844,500,"Aceh"
"admin1 == 'Banten'",21.2620865139949,12,20.1942104433739,393,"Banten"
"admin1 == 'West Sulawesi'",2.62390670553936,2,2.55494244394184,343,"West Sulawesi"
